score,title,user_name,user_country,review_date,is_verified,review_body,airline,seat,aircraft,layout
1,Business class product is awful,M Garman,United Kingdom,6th January 2022,1, A330 Business class product is awful. Was no selection of food and was given a very bland pasta despite having a gluten intolerance. Cabin AC was faulty and stuck on lowest setting. Cabin crew did the best they could. Customer services response was pathetic.,Air France ,Business Class,A330-200,2x2x2
2,in bed mode it is very lumpy,M Keales,United States,9th February 2020,1," The business class seat had plenty of room, and I liked that it was a pod-style (so I had decent privacy). My biggest complaint is the comfort when in bed mode it is very lumpy with the lumbar protruding into your back.  AF has invested a lot into these seats, and they could be great if they would only take the time to work on them a bit. A lay-flat bed that protrudes into your back is not OK. Tried using an extra blanket to make the bed more comfy but it didn't work. Please Air France, improve the comfort of the cushions for bed mode.",Air France ,Business Class,Boeing 777,1x2x1
1,seat was so small,R Hargal,India,26th January 2020,1, I had done online check in for economy seats fairly forward but at boarding gate in paris they changed the seat to somewhere at the back where the planes width narrows. The seat was so small & rigid & once the guy in front of me reclined his seat i felt so claustrophobic. For the sake on entertainment in an 11hr plus flight which was further delayed by 2hrs was a tiny screen with little content & a malfunctioning headphone with audio only in one ear.  I did not have high expectations but this was the worst experience.,Air France ,Economy Class,A330-200,2x4x2
2,ashamed to offer such cabins,A Rabouyre,Switzerland,6th November 2019,1," Lima to Paris on a Boeing 777-300. Once you enter the cabin you get thrown back into the 90s and not in a good way. The entertainment system is old with a couple of movies. The screen was barely bigger than my phone and with terrible quality, and you need to navigate using the bulky remotes. No plugs to charge the phone. The seats have almost no recline and are quite narrow. Worst part is that now Air France makes you pay to select certain seats (front section seats, emergency seats, etc.) and the price can go from 30 to 100 CHF the seat for 1 leg! Air France should be ashamed to offer such cabins at the same price as new cabins.",Air France ,Economy Class,Boeing 777-300,3x4x3
1,cramped and could not sleep,J Kareshir,United States,27th June 2019,1," Paris and Amman, A320 business class seats were nothing but economy class seats with no difference between these two classes. No leg room, minimally reclinable, felt cramped and could not sleep. They separate economy class seats from business class seats by a curtain to label it as business class. Only relief was at least they provided business class service in terms of meals etc otherwise it could have been a disaster. ",Air France ,Business Class,A320,3x3
2,the worst business class,Edmund Tai,United States,27th May 2019,0," Flew from San Francisco to Paris with AF flight 82. The business class seat is very disappointing. I have flown with mulitple airlines business class and this is similar to what we had to endure about 10 years ago when the seats was ""angled flat"". when in full ""recline"" the seat feels like it is sliding downward. I usually can sleep on flat beds for 5-6 hrs comfortably but with this sleep was not possible. This made it the worst business class experience.",Air France ,Business Class,A380,2x2x2
4,the worst Business class,H Miller,United Kingdom,16th May 2019,1, This was the worst Business class long haul flight I have ever been on. I didn't even know that the long haul business class flights came with a 2x3x2 formation with reclining seatsinstead of beds. The seats do not lay flat so you slide down them when trying to sleep - not great for people with back problems. There is hardly any space between the chairs so you have strangers climbing over you every time they want to get up. It felt like Premium Economy seats for Business Class prices. I complained afterwards and have been completely ignored by Air France.,Air France ,Business Class,Boeing 777,2x3x2
10,Recline was very nice,L Neale,United States,7th February 2019,1," Fantastic plane and service was friendly too. Recline was very nice, with a good thick footrest. Noise canceling headphones in premium economy, shell type seats that kept the seat in front from reclining into you and a very plush blanket made this almost like a business lite experience. Amenity kit with the anniversary logo comes in a few colors, contains toothbrush, sleep mask socks and earplugs. Inflight entertainment has a huge selection, large screen was responsive and looks new. Had trouble with the AC power port in my seat but the usb worked. Dinner was unremarkable but the foie gras starter was very good. Breakfast was delicious, scrambled eggs with spinach and herbs, very flavorful!",Air France ,Premium Economy,Boeing 777-300ER,2x4x2
3,uncomfortable overnight seats,V Barden,United States,21st October 2018,1," I can’t believe we paid extra for this Premium Economy seats on a vacation with my wife and flying NYC-JFK to Paris. The seats do not recline but just kind of slide forward a little. Essentially there is no functional recline and they are the most uncomfortable overnight seats I have ever flown on, including coach. And that is saying something because I fly a lot. We would have rather have tried the coach seats as they could not be worse. Very disappointed in these seats and the engineering is horrible. Not for nothing, but I remember way back in the day flying Air France in just coach and being very impressed by the coffee and food quality. In Premium Economy this time it tasted like instant powdered coffee.",Air France ,Premium Economy,A380,2x4x2
1,go back to their old seats,E Kalanova,Netherlands,17th August 2018,1, I used to like flying with Air France but after this flight I will try to avoid them. They changed their seats to similar ones they have on short haul flights. They are bearable when you need to fly 1-2 hours during day time but not when it’s a 6 hours transatlantic night flight. I don’t even want to imagine what a 10 hours + flight feels on those seats. The people who designed those seats probably never even had the chance to sit on them because otherwise such seat would not be existing! Air France is better to go back to their old seats.,Air France ,Economy Class,Boeing 777-300,3x4x3
