,Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
0,0,2.0,0.4192,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['yesterday', 'meal', 'hour', 'flight', 'hour', 'coffee', 'cup', 'wine', 'glass', 'dinner', 'cupholder', 'hour', 'flight', 'attendant', 'non_existent', 'people', 'excuse', 'flight', 'turbulence']"
1,1,1.0,0.3318,"class, business, service, airline, food, seating, bed, experience, year, trip","['body', 'lie_flat', 'business', 'class', 'layout', 'seat', 'wifi', 'crew', 'amenity', 'side', 'blanket', 'pillow', 'catering', 'bit', 'side', 'salad', 'food', 'hour', 'flight', 'kind', 'tea', 'thing', 'lemon', 'airport', 'layout', 'staff', 'member', 'passenger', 'transfer', 'leg', 'hour', 'hop', 'business', 'class', 'seat', 'foie', 'gras', 'snack', 'touch', 'experience', 'airline', 'option', 'mile', 'fare', 'schedule', 'widebody', 'moscow', 'flight', 'respect', 'peer', 'transit', 'airline', 'hub', 'transit', 'seat', 'staff', 'customer', 'experience', 'segmentation', 'perspective', 'type', 'airline', 'addition', 'terminal', 'review', 'hour', 'passport_control', 'queue']"
2,2,1.0,0.2773,"class, business, service, airline, food, seating, bed, experience, year, trip","['flight', 'attendant', 'business', 'class', 'snack', 'captain', 'business', 'class', 'bag']"
3,3,3.0,0.4437,"economy, foot, storage, passenger, bulkhead, aircraft, cabin, premium, armrest, recline","['economy', 'class', 'mile', 'partner', 'traveler', 'gold', 'economy', 'class', 'ticket', 'economy', 'premium', 'ticket', 'jet', 'area']"
4,4,2.0,0.3509,"flight, time, hour, sleep, configuration, attendant, emergency, meal, privacy, air","['experience', 'trip', 'flight', 'flight', 'hour', 'flight', 'warn', 'day', 'date', 'vacation', 'thing', 'shop', 'snack', 'water']"
5,5,4.0,0.3971,"row, leg, room, window, plane, space, exit, side, front, door","['delay', 'leg', 'information', 'time', 'service', 'aircraft', 'dust', 'side', 'seat', 'window', 'wifi', 'leg']"
6,6,1.0,0.4692,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'several_time', 'business', 'class', 'product', 'seat', 'try', 'one', 'food', 'crew', 'lounge', 'new_york']"
7,7,4.0,0.2814,"row, leg, room, window, plane, space, exit, side, front, door","['phone', 'book', 'business', 'class', 'economy', 'flight', 'brisbane', 'knowledge', 'business', 'web_site', 'economy', 'leg']"
8,8,1.0,0.2777,"class, business, service, airline, food, seating, bed, experience, year, trip","['business', 'class', 'flight', 'cph', 'flight', 'buenos_aire', 'course', 'award', 'mileage', 'point', 'award', 'mile']"
9,9,4.0,0.3926,"row, leg, room, window, plane, space, exit, side, front, door","['flight', 'year', 'gsqr', 'personnel', 'experience', 'seat', 'space', 'leg', 'shoulder', 'head', 'rest', 'sweat', 'neck', 'flight', 'entertainment_system', 'screen', 'outlet', 'usb_port', 'recharge', 'device', 'food', 'quality', 'partner', 'month', 'possibility', 'seat', 'correspondence', 'service', 'price', 'premium']"
